C,Si,Mn,Cr,Sn,Cu,Ni,Mo,thickness ,ferrite,perlite ,carbides ,martensite ,ausferrite ,austenite ,copper,CLASS,ferryt,perlit,węgliki,martenzyt,ausferryt,austenit,Wolna miedź,SUMA,ferryt,perlit,węgliki,martenzyt,ausferryt,austenit,Wolna miedź,kontrolka,,ferryt,perlit,węgliki,martenzyt,ausferryt,austenit,Wolna miedź,
3.53,2.41,0.3,0,0,0,3.1,0,3,10,90,0,0,0,0,0,FP,10.91932,68.24529,1.53176,0.21259,0.00653,0.003957,0.000010,80.91945,13,84,2,0,0,0,0,100,,10.91932,68.24529,1.53176,0.21259,0.00653,0.003957,0.000010,80.91945
3.53,2.41,0.3,0,0,0,3.1,0,6,16,84,0,0,0,0,0,FP,16.98212,66.67518,0.62971,0.22664,0.00182,0.003894,0.000006,84.51938,20,79,1,0,0,0,0,100,,16.98212,66.67518,0.62971,0.22664,0.00182,0.003894,0.000006,84.51938
3.53,2.41,0.3,0,0,0,3.1,0,12,27,73,0,0,0,0,0,FP,27.23495,60.39304,0.19790,0.23675,0.00014,0.003904,0.000003,88.06668,31,69,0,0,0,0,0,100,,27.23495,60.39304,0.19790,0.23675,0.00014,0.003904,0.000003,88.06668
3.53,2.41,0.3,0,0,0,3.1,0,24,34,66,0,0,0,0,0,FP,36.00096,46.87388,0.05122,0.19719,0.00000,0.004564,0.000001,83.12782,43,56,0,0,0,0,0,100,,36.00096,46.87388,0.05122,0.19719,0.00000,0.004564,0.000001,83.12782
3.51,2.59,0.3,0,0,0,5.12,0,3,5,0,0,93,0,2,0,M,1.14914,11.90910,0.07258,89.51755,0.00003,0.008955,0.000075,102.65743,1,12,0,87,0,0,0,100,,1.14914,11.90910,0.07258,89.51755,0.00003,0.008955,0.000075,102.65743
3.51,2.59,0.3,0,0,0,5.12,0,6,8,0,0,90,0,2,0,M,1.93726,12.56306,0.03799,89.12577,0.00001,0.008306,0.000053,103.67245,2,12,0,86,0,0,0,100,,1.93726,12.56306,0.03799,89.12577,0.00001,0.008306,0.000053,103.67245
3.51,2.59,0.3,0,0,0,5.12,0,12,12,0,0,85,0,3,0,M,3.70009,12.74021,0.01798,87.11475,0.00000,0.007496,0.000032,103.58056,4,12,0,84,0,0,0,100,,3.70009,12.74021,0.01798,87.11475,0.00000,0.007496,0.000032,103.58056
3.51,2.59,0.3,0,0,0,5.12,0,24,15,0,0,82,0,3,0,M,6.20362,12.38221,0.00905,75.66286,0.00000,0.007244,0.000018,94.26500,7,13,0,80,0,0,0,100,,6.20362,12.38221,0.00905,75.66286,0.00000,0.007244,0.000018,94.26500
3.82,2.43,0.24,0,0,0,7.59,0,3,0,0,0,90,0,10,0,M,0.16304,0.82883,0.01473,95.93216,0.00004,0.036053,0.000070,96.97493,0,1,0,99,0,0,0,100,,0.16304,0.82883,0.01473,95.93216,0.00004,0.036053,0.000070,96.97493
3.82,2.43,0.24,0,0,0,7.59,0,6,0,0,0,92,0,8,0,M,0.29537,1.00344,0.00725,95.93510,0.00003,0.028947,0.000051,97.27018,0,1,0,99,0,0,0,100,,0.29537,1.00344,0.00725,95.93510,0.00003,0.028947,0.000051,97.27018
3.82,2.43,0.24,0,0,0,7.59,0,12,0,0,0,94,0,6,0,M,0.62927,1.30066,0.00343,95.92918,0.00001,0.019564,0.000032,97.88216,1,1,0,98,0,0,0,100,,0.62927,1.30066,0.00343,95.92918,0.00001,0.019564,0.000032,97.88216
